"item_no","brief_description"
"10335","FLOW CONTROL"
"10337","FIXTURE COMPONENT"
"10338","TAPER TOOL"
"10339","PRO-4034 -UB8307610 SPECIAL ROUGH BORE"
"10340","SPECIAL PCD TOOL 595.45.4039"
"10342","TERCIARY DATUM FOR 6K"
"10343","DET #4 CALMP ARM LIFTING EYE"
"10344","DET #3 CLAMP ARM LIFTING EYE"
"10346","HOLDER"
"10347","PCD INTERP TOOL 30MM DIA R1.6"
"10348","PCD BORE TOOL 32.9MM 34HB"
"10349","18.1R1 CARBIDE INSERT"
"10350","PCD HOLLOW MILL"
"10351","PCD INTERP TOOL 16MM DIA 2OMM DIA"
"10352","CARBIDE INSERT R1.85"
"10353","COUNTER SINK TOOL"
"10354","9.5 CARBIDE STEP DRILL"
"10356","COUNTERSINK TOOL 17MM DIA R1.5"
"10357","10.5MM CARBIDE STEP DRILL"
"10359","FACEMILL"
"10360","PCD GUN BORE 26MM 897MM 90.2MM DIA"
"10361","PADDED TOOL 90.045MM"
"10362","PCD FACEMILL INSERTS"
"10363","PCD INTERP TOOL"
"10364","MILL CUTTER ARBOR"
"10365","FORM ENDMILL"
"10366","PCD INSERT 90.5 DIA"
"10367","HYDRAULIC CHUCK"
"10368","MODULAR ADAPTOR"
"10370","PCD BORE 32.5MM 57MM 70MM FACE CHAMFER"
"10371","PCD BORE TOOL 33.3DIA 57MM DIA 70MM DIA"
"10374","ROUGH BORE & CHAMFER"
"10375","ROUGH BORE & CHAMFER"
"10376","ROUGH BORE"
"10377","ROUGH BORE"
"10378","FINISH BORE"
"10380","ROUGH BORE"
"10381","FINISH BORE"
"10382","FINISH BORE"
"10385","SPECIAL CAT 50 ADAPTOR"
"10386","BORING BAR"
"10389","SPECIAL CAT 50 ADAPTOR"
"10390","FINISH BORE TOOL"
"10400","SPECIAL 50 TAPER ADAPTOR"
"10401","SPECIAL COOLANT READ FINISH BORE"
"10406","SOLID CARBIDE PILOT"
"10407","SPOT FACE INSERTS"
"10408","HELICAL DRILL"
"10409","ROUGH FINISH BORE FINISH CHAMFER"
"10410","ROUGH FINISH BORE & INTERPOLATE U-CUT"
"10412","17.150 DIA HELICAL DRILL"
"10413","16.003 HELICAL PRE-DRILL"
"10414","16.50 DIA HELICAL DRILL"
"10415","16.384 REAMER"
"10416","17.5MM DIA HELICAL DRILL"
"10420","SPECIAL GROOVING INSERTS"
"10421","ROUGH FINISH BORE & INTERPOLATE U'CUT"
"10423","40MM SPOTFACE ASSY FOR 17.07 DIA"
"10424","INSERT"
"10425","17.07 PILOT"
"10426","40MM SPOTFACE ASSY FOR 16.30 DIA"
"10428","EDP 96700"
"10429","EDP 96254"
"10431","EDP 29500"
"10435","32MM EM holder, 98.4MM projection, CAT50"
"10436","INSERT 5803899"
"10439","12.5MM DRILL & SPOTFACE ASSY"
"10440","12.5MM G-PORT DRILL"
"10441","33.0MM SPOTFACE G-PORT INSERT"
"10442","11.112 HELICAL DRILL"
"10443","4.0MM HELICAL DRILL"
"10444","12.5MM HELICAL DRILL"
"10445","12.0 HELICAL DRILL"
"10446","FINISH BORE & INTERPOLATE U'CUT"
"10447","INSERT"
"10448","FINISH BORE"
"10449","HELMET HEAD SCREW"
"10452","GRINDING WHEEL FOR RDU -LANDIS GRINDER"
"10453","RDU GRINDING WHEEL FOR ZF COMPANION FLANGE"
"10456","T20 X M4 SCREW"
"10458","DOWEL PINS MODIFIED"
"10459","CHECK VALVE DRIVE ASSEMBLY"
"10460","CHECK VALVE DRIVE ASSMBLY /w FLATS"
"10461","INSERT"
"10462","COLLET"
"10463","HOLDER"
"10467","CLAMP SCREW"
"10468","BLADE SCREW"
"10469","TORX WRENCH"
"10470","MBUH-08012S"
"10472","6K YOKE VERTICAL CENTER DRAW BOLT"
"10475","EDP 26702"
"10476","EDP 26693"
"10481","FIXTURE DETAIL"
"10482","CLAMP ARM"
"10483","FIXTURE COMPONENT"
"10515","HOLDER"
"10525","LIFTING EYE DATUM BLOCKS"
"10526","SPRING STOP Jergens #36102"
"10528","LIFTING EYE DATUM BLOCKS"
"10529","EDP 78956"
"10530","EDP 45137"
"10546","EDP 46770  replaced TK2001"
"10547","EDP 46573  replaced TK2001"
"10548","EDP 70185"
"10549","1/4 - 18 NPSF"
"10550","DETAIL 104 FOR IROS FIXTURE"
"10552","HELMET HEAD DRILL BODY"
"10553","SPECIAL BRAZED REAMER"
"10554","CL-3-RP"
"10555","8081 CAT POKE-YOKE PINS"
"10556","CONTACT BOLT"
"10558","EDP 46665  replaced TK2001"
"10559","EDP 46656   replaced TK2001"
"10560","EDP 45250  REPLACED MK2000"
"10562","EDP 46650   replaced TK2001"
"10564","COLLET"
"10566","90 DEG ELBOWS"
"10567","90 DEGREE ELBOWS"
"10568","31.50 C'BORE INSERTS"
"10569","20.85MM HELMET HEAD DRILL TIP"
"10570","19.27MM HELMET HEAD DRILL TIP"
"10571","28.20MM  C'BORE INSERTS"
"10572","19.27MM DRILL AND C'BORE"
"10573","INSERT SCREW M3 X .5"
"10576","MICRO ADJUST CARTRIDGE"
"10578","SCREW FOR HELMET HEAD TIP"
"10579","J BORE FINISHER"
"10580","J BORE U'CUT TOOL"
"10581","MICRO ADJUST CARTRIDGE"
"10583","T05 INSERT"
"10585","EDP 5803917"
"10587","5699 LOCTITE GREY"
"10589","LIVE CENTER"
"10594","RDU SOFT SUB JAWS"
"10595","ROUND GRIPPER"
"10596","OD TOOL BAR BLOCK"
"10597","ID BORING BAR TOOL BLOCK"
"10602","ARNO MICRO ADJUST CARTRIDGE LH"
"10603","DIAMOND PIN"
"10605","DANA FORD COMPANION FLANGE GRINDING WHEEL"
"10608","FOR VERTICAL WITH LH ONLY OR RH ONLY LOADS"
"10610","VERTICAL FOR LH /RH LOAD FIXTURES"
"10613","2 FLUTE INDEXABLE MILL  EDP 51189"
"10614","THREAD MILL INSERT  2MM PITCH"
"10622","7MPa HOLE CLAMP"
"10623","7MPa HOLE CLAMP"
"10631","25MM TREND LINE HYDRAULIC CHUCK HOLDER"
"10632","16MM TREND LINE HYDRAULIC CHUCK/HOLDER"
"10633","20MM TREND LINE HYDRAULIC CHUCK/HOLDER"
"10634","10MM TREND LINE HYDRAULIC CHUCK/HOLDER"
"10653","THREAD MILLING CUTTER"
"10656","BLOCK CYLINDER"
"10664","COUNTERWEIGHT PALLET 229-9813/14"
"10665","10-32 X2 SOC CAP  (10F2200KCS/IMP)"
"10669","1.50"" HELICAL CUTTER EDP 58593"
"10672","CYLINDER"
"10682","EXTENSION FOR ACCORD ASSEMBLY MACHINE"
"10689","SPRING BAT HEAD"
"10691","WORK SUPPORT END EFFECTOR"
"10694","32 MM HYDRAULIC"
"10695","25MM HYDRAULIC"
"10696","TG50 HOLDER"
"10698","TRIM STEEL BRUSH (wire brush)"
"10700","BALL PLUNGER"
"10706","WALTON"
"10711","7K UPPER LOCATOR"
"10712","7K UPPER LOCATOR"
"10713","MP ROD ADAPTOR DET 4/DET 9 SPRING PIN"
"10717","COROMILL 390 END MILL"
"10718","INSERT"
"10721","INSERT SCREW"
"10728","INSERT SCREW"
"10730","PALLET MODULE"
"10733","EDP 46721  replaced TK1001"
"10734","EDP 46761  replaced TK2001"
"10736","SPECIAL COLLET"
"10740","ROUND PIN"
"10741","DIAMOND PIN"
"10743","INSERT"
"10746","TPHB-130308-FN-P"
"10747","PCD CHAMFER BACK AND MILL HOLDER"
"10749","PCD G-DRILL"
"10750","60MM FACEMILL"
"10756","DG3208-060 SEALING DISC"
"10757","MN620-B M6X15 THREADED PIN SCREW"
"10764","MN619-GR-4 ADJUSTING WEDGE"
"10769","1835-B-M6X9 SCREW"
"10771","INSERT"
"10772","CLAMP ARM"
"10775","DETAIL"
"10776","DATUM RISER FOR JD HEAD"
"10777","DATUM RISER JD HEAD"
"10790","SNAP IN PLUNGER"
"10794","PULL DOWN CLAMP"
"10795","18MM HYD CHUCK SLIM LINE"
"10797","EDP 45132"
"10798","EDP 43740"
"10800","COLLET"
"10803","CAT REGULATOR DET 15"
"10804","BOLT"
"10805","SCREWS FOR MP700 PROBES"
"10806","OMP BRASS BALL COOLANT NOZZLE"
"10807","EXTENSION FOR ACCORD ASSEMBLY MACHINE"
"10808","INSERT"
"10809","CARRIER CYLINDERS"
"10819","EDP 37257"
"10826","HOLDER"
"10828","BUMPERS FOR CAT REG LEAK TESTER"
"10830","SPRING"
"10831","SRPING"
"10832","ADJUSTABLE SHELL MILL"
"10833","1/2"" ENDMILL"
"10834","32MM SHRINK FIT"
"10838","DRILL TIP"
"10839","DRILL BODY"
"10840","CLUB HEAD"
"10841","SPRING PIN"
"10842","RETENTION  KNOB ARM"
"10843","RETENTION KNOB ARM"
"10844","RETENTION KNOB HANDLE"
"10845","SWING CLAMP TUFFCAM TOP FLANGE"
"10846","DATUM SHIM"
"10847","DIAMOND PIN B-LOAD"
"10848","ER16 HS COATED COOLANT NUT"
"10851","RETRACT CLAMP W/ TAPPED HOLE"
"10852","SPHERICAL DATUM"
"10853","PLUNGER FOR SPRING STOP BUTTON"
"10854","SWING CLAMP ARM"
"10855","TUFFCAM RIGHT SWING CLAMP 2600#"
"10856","TUFFCAM RIGHT SWING CLAMP 1100#"
"10857","TUFFCAM RIGHT SWING CLAMP 2600#"
"10858","SPRING LOADED CYLINDER"
"10859","ROUGH FINISH BORE & CHAMFER TOOL"
"10861","WORK SUPPORT"
"10862","AB SHAFT LIVE CENTER"
"10865","WORK SUPPORT"
"10866","AUTO SHUT OFF HANDLES"
"10868","22 TOOTH ARBOR"
"10869","23 TOOTH ARBOR"
"10876","DATUM LOCATORS"
"10884","INSERT"
"10885","BLADE"
"10886","HOLDER"
"10890","INSERT"
"10891","TOOL HOLDER"
"10892","SHIM"
"10893","CLAMP"
"10894","SHIM SCREW"
"10895","CLAMP SCREW"
"10896","5/16-24B COOL-THRU DIN/ANSI 2B TICN"
"10900","20MM HYDRAULIC HOLDER"
"10903","SOC CAP 1/4-20 X 4 18.8 STAINLESS STEEL"
"10911","SPRING"
"10912","M18 X 1.50 6HX"
"10914","PRIMARY SHIMS FOR PIVOTS"
"10919","1-14 RH NUT MILLING ARBOR PART"
"10920","1 X 3/8"" ARBOR SPACER"
"10921","1 X 1"" ARBOR SPACER"
"10923","DET 53 SPHERICAL DATUM BUTTON"
"10924","BOLTS"
"10933","2.5"" FACEMILL"
"10934","CAT50-ER32 X 6 RF"
"10935","14MM ER32 TAP COLLET"
"10936","COLLET"
"10938","T-NUTS FOR WHIRLPOOL"
"10945","FACEMILL"
"10946","LOCATOR BUTTON"
"10947","MSC Industrial Supply # 73289894"
"10949","CONTACT BOLT"
"10950","8MM SHRINKFIT, 79.4 PROJECTION  EDP 66558"
"10953","CAT 50 HOLDER FOR MP700 Renishaw"
"10956","SINGLE ACTING SWING CLAMP LH #5000"
"10958","REST BUTTON"
"10959","SHIM"
"10962","MP UPPER MASTER JAW"
"10963","MP UPPER JAW INSERT"
"10964","SEAL"
"10965","SEAL"
"10966","SEAL"
"10967","SEAL"
"10968","SEAL"
"10969","SEAL"
"10970","SEAL"
"10971","SEAL"
"10972","SEAL"
"10973","SEAL"
"10974","SEAL"
"10975","SEAL - 75Duro"
"10976","SEAL-90 duro"
"10981","PLUG REWORK DRIVE"
"10983","1/2 X 1/2 SQ GRIPPER"
"10984","EDP 69925"
"10989","6.8MM STEP DRILL"
"10990","DRAW BOLT ADAPTOR"
"10992","CYLINDER"
"10993","CYLINDER"
"10994","CARTRIDGE"
"10995","CARTRIDGE"
"11015","20MM TO 15MM HYDRAULIC SLEEVE"
"11027","SPERICAL RADIUS CONTACT"
"11033","FIXTURE ID STAMP # 1"
"11034","FIXTURE ID STAMP #2"
"11035","FIXTURE ID STAMP # 3"
"11036","FIXTURE ID STAMP #4"
"11037","FIXTURE ID STAMP # 5"
"11038","FIXTURE ID STAMP # 6"
"11049","8MM HYD CHUCK"
"11050","20MM HYD CHUCK"
"11055","SEAL KIT FOR CGS02"
"11058","SPECIAL G-SPOT"
"11059","SOLID CARBIDE G DRILL"
"11060","SPOTFACE/CHAMFER INSERT"
"11063","1/16"" COLLET"
"11065","CONTACT BOLT"
"11066","1/16"" x 1"" dowel pin"
"11070","INSERT SET SCREW"
"11071","INSERT SCREW"
"11072","THREAD MILL BODY"
"11073","THREAD MILL INSERT"
"11075","TAPER REAMER"
"11077","DETAIL 112 SPRING"
"11078","DETAIL 113 SPRING"
"11080","HAND TOOL"
"11081","HAND TOOL"
"11083","9400R.3937 10.0 X 25.0 X 64 ENDMILL"
"11085","RETENTION KNOB RETAINER"
"11086","3XD 5.8MM DRILL"
"11087","POKE-YOKE 2"
"11088","POKE-YOKE"
"11200","TORQUE WRENCH"
"11201","TURNING GRADE FOR DUCTILE CAST IRON"
"11205","12 MM HYD CHUCK"
"11232","CONDITIONER RING  19603 DIAMOND"
"11305","CARTRIDGE PULL CYLINDER"
"11308","ROUND PIN"
"11309","OP20 DATUM PAD"
"11310","LH LINK CLAMP ARM 2"
"11311","RH LINK CLAMP ARM 2"
"11312","LINK CLAMP ARM PADS"
"11313","SPHERICAL DATUM 2"
"11314","MALE FITTING FOR AIR SENSE"
"11315","CONTACT BUTTON"
"11316","RH SWING CLAMP ARM 1"
"11317","SWING CLAMP ARM 2"
"11318","SWING CLAMP ARM 4"
"11319","LINK CLAMP"
"11320","LOAD ASSIST DETAILS"
"11321","UPPER LOAD ASSIST DETAILS"
"11322","LOWER LOAD ASSIST DETAILS"
"11323","SPHERICAL DATUM & DETIALS FOR AIR SENSOR"
"11324","DETAILS FOR AIR SENSOR"
"11325","PRP BALL HEAD"
"11326","WORK SUPPORT END EFFECTOR"
"11327","WORK SUPPORT END EFFECTOR"
"11328","HYDRAULIC PRP"
"11329","32MM HYDRAULIC CHUCK"
"11330","MILL TOOL"
"11331","MILLING CUTTER"
"11332","MILLING CUTTER"
"11375","LH LINK ARM CLAMP PAD"
"11377","LH LINK CLAMP ARM 1"
"11412","PALLET VALVE HANDLE"
"11434","SHOULDER SCREW"
"11435","RUBBER SHEETS FOR LEAK TESTER"
"11585","1/2"" X 3/4"" SHOULDER BOLT"
"11586","ER40 HOLDER"
"11587","STIRRABLE COLLET AND COLLET NUT"
"11588","1"" ENDMILL W/1.524 RADIUS   EDP 58751"
"11589","FIXTURE COMPONENT"
"11596","HYDROSTAT"
"11601","HORSESHOE SHIM 2""   (BOX OF 20)"
"11602","HORSESHOE SHIMS 002  (BOX OF 20)"
"11603","HORSESHOE SHIMS .003  (BOX OF 20)"
"11604","HORSESHOE SHIMS .004  (BOX OF 20)"
"11605","HORSESHOE SHIMS .005 (BOX OF 20)"
"11606","HORSESHOE SHIMS .010 (BOX OF 20PCS)"
"11607","HORSESHOE SHIMS .15"" (BOX OF 20)"
"11609","HORESHOE SHIM .020 (BOX OF 20)"
"11610","SHIM .025 (BOX OF 20)"
"11612","SOCKET 3/8 E10 TORX"
"11613","CARTRIDGE HP INKJET B"
"11614","SCREW SOCKET SET 1420X38"
"11616","LOCK SCREW C.L. #LS-2"
"11617","SHCS 58/16-18 X 5/8 LG"
"11620","OIL  AW68"
"11621","SAFETY GLASSES  MCR 71110"
"11623","SAFETY GLASS  CREW KD110"
"11624","SAFETY GLASSES"
"11625","GLASSES SAFETY"
"11626","SAFETY GLASSES"
"11627","GEAR OIL"
"11629","SIGHT SAVERS"
"11630","DISPENSER"
"11631","DISPENSER"
"11632","DISPNSER"
"11633","SPRAY BOTTLE"
"11634","DISPENSER"
"11635","SUPPORT CUP"
"11636","BIN BOXES"
"11658","(EBL)-LIMITER"
"11659","REST"
"11661","BUTTON"
"11670","SHAFT"
"11672","ARM"
"11675","ROCKER ARM"
"11676","COLLAR"
"11677","SIRLING CYL"
"11693","GAGE NO GO"
"11694","GOGGLES SEC"
"11699","PUMP DRUM"
"11700","BAR"
"11701","PAD"
"11703","PLATE"
"11704","ARM"
"11705","SCREW"
"11706","GIB"
"11707","BASE"
"11709","SEAL KIT FOR 16-6114-00"
"11710","CYLINDER"
"11712","BACK-UP"
"11713","ROD"
"11714","SLEEVE"
"11715","BODY"
"11717","ROD"
"11718","SLEEVE"
"11719","WEDGE"
"11720","TRANSMISSION FLUID"
"11726","OIL"
"11744","LINER"
"11745","VALVE CHECK"
"11756","INSERT SCREW"
"11762","CONTACT"
"11763","FINGER"
"11766","GAGE"
"11768","GAGE"
"11769","NOZZLE"
"11770","FIXTURE"
"11772","BEARING"
"11773","WASHER"
"11774","ROLLER"
"11775","ROLLER"
"11776","DRIVER"
"11777","SHANK"
"11781","PRINT CARTRIDGE"
"11782","PRINT CARTRIDGE"
"11784","PLATES"
"11786","SHAFT"
"11787","PAD"
"11792","CHEMICAL"
"11794","COLOR INK CARTRIDGE"
"11795","SPRING PLUNGER"
"11796","SPRING PLUNGER"
"11797","TUBE"
"11798","RIBBON"
"11799","SPINDLE OIL"
"11801","REST BUTTON"
"11804","FUNGI DIPSLIDE"
"11808","LOWER SEAL"
"11811","DRILL BODY"
"11812","DRILL BODY INSERT"
"11813","CLAMP"
"11814","WEDGE SCREW"
"11815","SLOTTED SPRING PIN"
"1814441","5/8-18 X 5-1/2"
"2064103","LARGE NITRILE GLOVE"
"5051099","9/64 ALLEN WRENCH"
"5051164","1/4 ALLEN WRENCH"
"5051248","3/8 ALLEN WRENCH"
"5051321","1/2 BALL END"
"5051404","5/8 ALLEN WRENCH"
"5051826","2.0MM"
"5051834","2.5MM"
"5056155","T15"
"5056205","T20 X 200 T HANDLE"
"5056254","T25 X 200 T HANDLE"
"5751003","B10 HOLDER"
"5751086","MOD B BLADE HOLDERE"
"8112005","2XL NITRILE GLOVE"
